Date,BTC-USD,ETH-USD,SHIB-USD,DOGE-USD,ADA-USD,XRP-USD,MATIC-USD,SOL-USD,CRO-USD,MANA-USD,LRC-USD,^BVSP
2021-12-13,46737.48046875,3784.226806640625,3.300000025774352e-05,0.15756499767303467,1.2253479957580566,0.7828940153121948,1.8202769756317139,155.2130584716797,0.5328260064125061,3.168044090270996,2.1021790504455566,107383.0
2021-12-14,46612.6328125,3745.4404296875,3.400000059627928e-05,0.18015700578689575,1.2228349447250366,0.7962489724159241,1.8027689456939697,153.34144592285156,0.5243769884109497,3.0288050174713135,2.114579916000366,106760.0
2021-12-15,48896.72265625,4018.388671875,3.400000059627928e-05,0.18108199536800385,1.3118469715118408,0.8274310231208801,2.1220600605010986,178.34078979492188,0.557112991809845,3.335258960723877,2.2415730953216553,107431.0
2021-12-16,47665.42578125,3962.4697265625,3.300000025774352e-05,0.17345400154590607,1.2405339479446411,0.8062300086021423,2.0726890563964844,176.9546661376953,0.5402219891548157,3.142296075820923,2.1068620681762695,108212.0
2021-12-17,46202.14453125,3879.486572265625,3.099999958067201e-05,0.1690099984407425,1.2198920249938965,0.7992910146713257,2.128067970275879,175.5032958984375,0.5223389863967896,3.072274923324585,2.059654951095581,107322.0
2021-12-18,46848.77734375,3960.860107421875,3.099999958067201e-05,0.17239999771118164,1.2425340414047241,0.8273789882659912,2.231473922729492,182.8351287841797,0.5270509719848633,3.430469036102295,2.0702269077301025,
2021-12-19,46707.015625,3922.592529296875,3.099999958067201e-05,0.1695760041475296,1.2446609735488892,0.8350329995155334,2.222235918045044,180.09805297851562,0.5141310095787048,3.259592056274414,2.0456130504608154,
2021-12-20,46880.27734375,3933.844482421875,3.099999958067201e-05,0.16732199490070343,1.2382400035858154,0.8798279762268066,2.127742052078247,173.67178344726562,0.49995899200439453,3.1890339851379395,2.0157830715179443,105020.0
2021-12-21,48936.61328125,4020.260009765625,3.300000025774352e-05,0.1711750030517578,1.2808589935302734,0.9476460218429565,2.3759849071502686,180.09254455566406,0.5295990109443665,3.2920260429382324,2.407371997833252,105500.0
2021-12-22,48628.51171875,3982.099609375,3.5000000934815034e-05,0.17321400344371796,1.3280409574508667,0.9546989798545837,2.501101016998291,178.5971221923828,0.5377359986305237,3.288335084915161,2.199873924255371,105244.0
2021-12-23,50784.5390625,4108.015625,3.899999865097925e-05,0.18448999524116516,1.4746910333633423,0.9932850003242493,2.6791629791259766,190.03631591796875,0.5950109958648682,3.6766018867492676,2.3121089935302734,104891.0
2021-12-24,50822.1953125,4047.98291015625,3.600000127335079e-05,0.1866219937801361,1.3923670053482056,0.9120470285415649,2.467272996902466,190.273193359375,0.6272590160369873,3.5051770210266113,2.215557098388672,
2021-12-25,50429.859375,4093.281005859375,3.7999998312443495e-05,0.19065700471401215,1.4534950256347656,0.9248189926147461,2.6368279457092285,193.1209259033203,0.6461129784584045,3.7479779720306396,2.2713959217071533,
2021-12-26,50809.515625,4067.328125,3.7999998312443495e-05,0.19001999497413635,1.4560450315475464,0.921180009841919,2.8767569065093994,198.000732421875,0.6258900165557861,3.8642189502716064,2.351591110229492,
2021-12-27,50640.41796875,4037.547607421875,3.899999865097925e-05,0.18770499527454376,1.5129129886627197,0.9261839985847473,2.725954055786133,195.42950439453125,0.6240879893302917,3.7396240234375,2.2588019371032715,105531.0
2021-12-28,47588.85546875,3800.89306640625,3.5000000934815034e-05,0.17411699891090393,1.4022639989852905,0.8529599905014038,2.4982059001922607,177.42562866210938,0.5669710040092468,3.347377061843872,2.0582900047302246,104864.0
2021-12-29,46444.7109375,3628.53173828125,3.400000059627928e-05,0.16776500642299652,1.330814003944397,0.8167139887809753,2.470005989074707,170.65756225585938,0.546567976474762,3.250933885574341,1.9640710353851318,104107.0
2021-12-30,47178.125,3713.85205078125,3.400000059627928e-05,0.17131300270557404,1.360414981842041,0.8396490216255188,2.557750940322876,172.75119018554688,0.5537109971046448,3.2931430339813232,1.9970730543136597,104822.0
2021-12-31,46306.4453125,3682.6328125,3.300000025774352e-05,0.17049600183963776,1.310209035873413,0.8311629891395569,2.527107000350952,170.299072265625,0.5575100183486938,3.2706708908081055,2.0934441089630127,
2022-01-01,47686.8125,3769.697021484375,3.400000059627928e-05,0.17303499579429626,1.3769750595092773,0.8494719862937927,2.5747909545898438,178.5179443359375,0.585303008556366,3.3453989028930664,2.0841379165649414,
2022-01-02,47345.21875,3829.56494140625,3.400000059627928e-05,0.17440299689769745,1.3775839805603027,0.8591179847717285,2.549190044403076,176.38284301757812,0.5876979827880859,3.3398730754852295,2.0963919162750244,
2022-01-03,46458.1171875,3761.38037109375,3.300000025774352e-05,0.170087993144989,1.3216370344161987,0.8328850269317627,2.432651996612549,170.29774475097656,0.5672919750213623,3.251962900161743,2.046088933944702,103922.0
2022-01-04,45897.57421875,3794.056640625,3.199999991920777e-05,0.16880300641059875,1.3116580247879028,0.8246729969978333,2.367248058319092,167.93890380859375,0.5518029928207397,3.1778030395507812,2.057490110397339,103514.0
2022-01-05,43569.00390625,3550.386962890625,2.9999999242136255e-05,0.15941999852657318,1.236001968383789,0.7743579745292664,2.1954751014709473,155.0997314453125,0.5043299794197083,2.9264750480651855,1.809728980064392,101006.0
2022-01-06,43160.9296875,3418.408203125,3.099999958067201e-05,0.16021299362182617,1.2797820568084717,0.7813460230827332,2.2507801055908203,150.4313507080078,0.5039399862289429,3.385951042175293,1.8429640531539917,101561.0
2022-01-07,41557.90234375,3193.21044921875,2.9000000722589903e-05,0.155022993683815,1.2115470170974731,0.7630739808082581,2.053826093673706,136.40281677246094,0.4633989930152893,3.0518829822540283,1.6686550378799438,102476.0
2022-01-08,41733.94140625,3091.97265625,2.8000000384054147e-05,0.15195399522781372,1.1875120401382446,0.7476879954338074,1.995859980583191,142.51345825195312,0.4539110064506531,2.9384100437164307,1.5233370065689087,
2022-01-09,41911.6015625,3157.75146484375,2.8000000384054147e-05,0.15106500685214996,1.17385995388031,0.7545049786567688,2.115518093109131,140.83900451660156,0.46143999695777893,2.9406960010528564,1.5744179487228394,
2022-01-10,41821.26171875,3083.097900390625,2.700000004551839e-05,0.1433590054512024,1.128051996231079,0.7393350005149841,2.0718019008636475,135.95494079589844,0.4448530077934265,2.818006992340088,1.4697929620742798,101945.0
2022-01-11,42735.85546875,3238.111572265625,2.8000000384054147e-05,0.1533990055322647,1.1851099729537964,0.7705540060997009,2.356945037841797,140.18385314941406,0.45883798599243164,2.931364059448242,1.4920599460601807,103779.0
2022-01-12,43949.1015625,3372.25830078125,3.199999991920777e-05,0.16165199875831604,1.3045350313186646,0.7995479702949524,2.3925909996032715,151.70310974121094,0.48654600977897644,3.0888419151306152,1.6302870512008667,105804.0
2022-01-13,43205.4765625,3305.689453125,3.0495413739117794e-05,0.165334552526474,1.2673850059509277,0.7771989107131958,2.330930709838867,154.05111694335938,0.47254496812820435,2.9689791202545166,1.5481852293014526,105311.6484375
